                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.67436,                0.40701,                0.98203,                0.92796,                0.90933,                0.97501,                 0.8072,                0.71256,                0.44878,                 1.0515,              0.0080596,              0.0080596,              0.0080596
                    100,                0.67327,                0.41001,                0.97749,                0.95405,                0.96102,                0.97986,                0.81909,                0.72114,                0.37832,                 1.0582,              0.0080398,              0.0080398,              0.0080398
                    101,                0.67346,                0.40025,                0.98273,                0.96545,                0.97248,                0.98809,                0.82857,                0.69507,                0.33771,                 1.0431,                0.00802,                0.00802,                0.00802
                    102,                0.65879,                0.39191,                0.97216,                0.93946,                  0.933,                0.95798,                0.80343,                0.71034,                0.46933,                 1.0487,              0.0080002,              0.0080002,              0.0080002
                    103,                0.67876,                0.40263,                0.98049,                0.94577,                0.91544,                0.97501,                0.80126,                0.73184,                0.42772,                 1.0694,              0.0079804,              0.0079804,              0.0079804
                    104,                0.66439,                0.40396,                0.97523,                  0.955,                0.95291,                0.98253,                 0.8134,                0.71585,                 0.3786,                 1.0598,              0.0079606,              0.0079606,              0.0079606
                    105,                0.66526,                0.39337,                0.97769,                0.93482,                0.94518,                0.97294,                0.81093,                0.71455,                0.43435,                 1.0498,              0.0079408,              0.0079408,              0.0079408
                    106,                0.66617,                0.38974,                0.97343,                 0.9408,                0.93874,                0.96921,                0.80733,                0.72687,                0.44129,                   1.06,               0.007921,               0.007921,               0.007921
                    107,                0.66507,                0.39359,                0.97101,                0.94176,                0.93823,                0.97309,                0.80274,                0.73943,                0.42802,                 1.0662,              0.0079012,              0.0079012,              0.0079012
                    108,                0.65499,                0.38592,                0.96845,                0.92888,                0.93472,                0.96386,                0.80855,                0.70647,                0.44825,                 1.0474,              0.0078814,              0.0078814,              0.0078814
                    109,                0.67118,                0.38768,                0.97419,                0.92656,                0.93565,                0.95308,                0.78774,                0.72752,                0.51988,                 1.0618,              0.0078616,              0.0078616,              0.0078616
                    110,                0.65491,                0.37599,                0.97319,                 0.9635,                0.96005,                0.98589,                0.82494,                0.71256,                0.36201,                 1.0518,              0.0078418,              0.0078418,              0.0078418
                    111,                 0.6547,                0.38955,                0.97439,                0.93514,                0.94521,                 0.9805,                0.82238,                0.70925,                0.41354,                 1.0563,               0.007822,               0.007822,               0.007822
                    112,                 0.6587,                0.37997,                0.97419,                0.93971,                0.96182,                0.97976,                0.81214,                0.72861,                0.39488,                  1.064,              0.0078022,              0.0078022,              0.0078022
                    113,                0.65712,                0.38531,                0.96676,                0.92449,                0.93633,                0.97661,                0.81239,                0.71863,                0.44545,                 1.0613,              0.0077824,              0.0077824,              0.0077824
                    114,                0.64976,                0.37694,                0.97242,                0.93902,                0.96619,                 0.9822,                0.82111,                0.70812,                0.37776,                 1.0475,              0.0077626,              0.0077626,              0.0077626
                    115,                0.65464,                0.37647,                0.96404,                0.95647,                0.95669,                0.98112,                0.82906,                0.68419,                 0.3794,                 1.0337,              0.0077428,              0.0077428,              0.0077428
                    116,                0.65308,                0.38072,                0.97208,                0.95288,                 0.9649,                0.98455,                0.81889,                0.70715,                0.35512,                 1.0494,               0.007723,               0.007723,               0.007723
                    117,                0.64939,                0.38159,                0.96541,                0.94043,                0.95531,                0.97515,                0.82059,                0.70803,                0.41653,                 1.0522,              0.0077032,              0.0077032,              0.0077032
                    118,                0.65003,                0.37212,                0.97058,                0.95128,                0.94744,                0.97936,                0.82564,                0.69513,                0.40232,                 1.0405,              0.0076834,              0.0076834,              0.0076834
                    119,                0.64208,                0.36946,                0.95887,                0.96226,                0.95601,                0.98526,                0.81711,                0.70875,                0.34994,                 1.0474,              0.0076636,              0.0076636,              0.0076636
                    120,                0.63575,                0.37222,                0.96052,                0.96466,                0.95212,                0.98473,                0.82676,                0.69577,                0.35574,                 1.0424,              0.0076438,              0.0076438,              0.0076438
                    121,                0.63482,                0.36338,                0.96099,                0.95068,                0.95343,                0.98197,                0.82232,                0.71834,                0.38115,                 1.0647,               0.007624,               0.007624,               0.007624
                    122,                 0.6467,                0.36092,                0.97067,                0.96069,                0.97867,                0.99117,                0.82894,                0.70554,                0.31724,                 1.0474,              0.0076042,              0.0076042,              0.0076042
                    123,                0.65225,                0.37538,                0.96748,                0.93419,                0.96382,                0.98152,                0.82235,                0.71031,                0.38998,                 1.0482,              0.0075844,              0.0075844,              0.0075844
                    124,                0.63788,                0.37777,                0.95804,                0.95348,                0.95509,                0.98221,                0.82565,                0.70009,                0.37914,                 1.0411,              0.0075646,              0.0075646,              0.0075646
