                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.48637,                0.37815,                0.86503,                0.91272,                0.95924,                0.96673,                0.79641,                0.76708,                0.49199,                  1.022,             0.00010729,             0.00010729,             0.00010729
                     90,                0.45529,                0.39945,                0.84542,                0.90908,                0.95984,                0.97462,                0.78806,                0.78715,                0.51438,                 1.0247,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.44208,                0.36994,                0.83061,                0.93477,                0.93383,                0.97518,                0.79721,                0.76761,                0.50846,                 1.0171,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.42068,                0.35381,                0.83026,                  0.941,                0.94934,                0.97599,                0.79495,                0.77526,                0.50693,                 1.0236,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                 0.4265,                0.35965,                0.83034,                0.94419,                0.95252,                0.97623,                0.79645,                0.75569,                0.50314,                 1.0233,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.41997,                0.34653,                0.82583,                0.92869,                0.94139,                0.97245,                0.78956,                0.76833,                0.51331,                 1.0351,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.41837,                0.34283,                 0.8274,                0.92615,                0.93238,                0.97252,                0.79703,                0.77737,                0.52246,                 1.0408,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                 0.4148,                0.33694,                0.82688,                0.93416,                0.93618,                0.97279,                0.79921,                0.77671,                0.51733,                 1.0391,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.41823,                0.35028,                0.82947,                 0.9225,                0.93302,                0.97231,                 0.7962,                0.77796,                 0.5077,                 1.0374,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.41046,                 0.3456,                0.82926,                0.92615,                0.92759,                0.97249,                0.79531,                0.77143,                0.51752,                 1.0314,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.39889,                0.32891,                 0.8248,                0.93154,                0.92325,                0.97251,                0.79872,                0.76404,                0.51732,                 1.0307,             2.4823e-05,             2.4823e-05,             2.4823e-05
